fdc_id,description,category,ingredients,serving_description,serving_size_g,Ash (G),"Calcium, Ca (G)","Carbohydrate, by difference (G)","Copper, Cu (G)",Energy (Atwater General Factors) (KCAL),Energy (Atwater Specific Factors) (KCAL),"Fiber, total dietary (G)","Iron, Fe (G)","Magnesium, Mg (G)","Manganese, Mn (G)",Niacin (G),Nitrogen (G),"Phosphorus, P (G)","Potassium, K (G)",Protein (G),"Sodium, Na (G)",Thiamin (G),Total lipid (fat) (G),Vitamin B-6 (G),Water (G),"Zinc, Zn (G)"
332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Sausages and Luncheon Meats,[],1.0 link,186.0000,6.8076,0.0688,4.8918,0.0002,-1.0000,-1.0000,-1.0000,0.0044,0.0560,0.0003,0.0131,5.7474,0.3850,0.8091,35.8980,1.8284,0.0007,52.2660,0.0010,86.1180,0.0041
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Sausages and Luncheon Meats,[],1.0 link,80.4000,2.9426,0.0297,2.1145,0.0001,-1.0000,-1.0000,-1.0000,0.0019,0.0242,0.0002,0.0057,2.4844,0.1664,0.3497,15.5172,0.7903,0.0003,22.5924,0.0004,37.2252,0.0018
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Sausages and Luncheon Meats,[],1.0 link,186.0000,6.8076,0.0688,4.8918,0.0002,-1.0000,-1.0000,-1.0000,0.0044,0.0560,0.0003,0.0131,5.7474,0.3850,0.8091,35.8980,1.8284,0.0007,52.2660,0.0010,86.1180,0.0041
325992,"Sausage, turkey, breakfast links, mild, raw",Sausages and Luncheon Meats,[],1.0 link,27.9000,0.6612,0.0089,0.2595,0.0000,-1.0000,-1.0000,-1.0000,0.0003,0.0053,0.0000,0.0014,0.7449,0.0497,0.0865,4.6593,0.1671,0.0000,2.9016,0.0001,19.4184,0.0007
746783,"Sausage, turkey, breakfast links, mild, raw",Sausages and Luncheon Meats,[],1.0 link,27.9000,0.6612,0.0089,0.2595,0.0000,45.7560,47.1510,-1.0000,0.0003,0.0053,0.0000,0.0014,0.7449,0.0497,0.0865,4.6593,0.1671,0.0000,2.9016,0.0001,19.4184,0.0007
325992,"Sausage, turkey, breakfast links, mild, raw",Sausages and Luncheon Meats,[],1.0 package,450.0000,10.6650,0.1440,4.1850,0.0003,-1.0000,-1.0000,-1.0000,0.0053,0.0851,0.0002,0.0226,12.0150,0.8010,1.3950,75.1500,2.6955,0.0002,46.8000,0.0015,313.2000,0.0116
746783,"Sausage, turkey, breakfast links, mild, raw",Sausages and Luncheon Meats,[],1.0 package,450.0000,10.6650,0.1440,4.1850,0.0003,738.0000,760.5000,-1.0000,0.0053,0.0851,0.0002,0.0226,12.0150,0.8010,1.3950,75.1500,2.6955,0.0002,46.8000,0.0015,313.2000,0.0116
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",Nut and Seed Products,[],1.0 cup,127.0000,5.4610,0.0991,21.7170,0.0023,834.3900,777.2400,13.0810,0.0066,0.4547,0.0037,0.0088,5.0292,0.9525,0.8750,26.6700,0.6756,0.0006,71.2470,0.0010,1.9050,0.0076
334247,"Sugars, granulated",Sweets,[],1.0 cup,188.0000,0.1316,0.0019,187.2480,0.0000,-1.0000,-1.0000,-1.0000,0.0001,0.0006,0.0000,-1.0000,0.0000,0.0000,0.0038,0.0000,0.0019,-1.0000,0.6016,-1.0000,0.0376,0.0000
746784,"Sugars, granulated",Sweets,[],1.0 cup,188.0000,0.1316,0.0019,187.2480,0.0000,753.8800,723.8000,-1.0000,0.0001,0.0006,0.0000,-1.0000,0.0000,0.0000,0.0038,0.0000,0.0019,-1.0000,0.6016,-1.0000,0.0376,0.0000
