fdc_id,description,category,ingredients,serving_description,serving_size_g,Ash (G),"Calcium, Ca (G)","Carbohydrate, by difference (G)","Copper, Cu (G)",Energy (Atwater General Factors) (KCAL),Energy (Atwater Specific Factors) (KCAL),"Fiber, total dietary (G)","Iron, Fe (G)","Magnesium, Mg (G)","Manganese, Mn (G)",Niacin (G),Nitrogen (G),"Phosphorus, P (G)","Potassium, K (G)",Protein (G),"Sodium, Na (G)",Thiamin (G),Total lipid (fat) (G),Vitamin B-6 (G),Water (G),"Zinc, Zn (G)"
327357,"Nectarines, raw",Fruits and Fruit Juices,[],1.0 serving,140.0000,0.6720,0.0028,12.8520,0.0001,60.2000,54.6000,2.1000,0.0004,0.0123,0.0001,0.0016,0.2380,0.0364,0.1834,1.4840,0.0182,0.0000,0.3920,0.0000,124.6000,0.0003
323294,"Nuts, almonds, dry roasted, with salt added",Nut and Seed Products,[],1.0 cup,135.0000,4.6845,0.3686,21.8700,0.0012,900.4500,838.3500,14.8500,0.0043,0.3483,0.0027,0.0042,5.3190,0.6156,0.9234,27.5400,0.3456,0.0001,78.0300,0.0001,2.9700,0.0038
748278,"Oil, canola",Fats and Oils,[],100.0 milliliter,90.9000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
330458,"Oil, coconut",Fats and Oils,[],1.0 tablespoon,11.6000,0.0035,0.0001,0.0974,0.0000,103.8200,96.6280,-1.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,11.4956,-1.0000,0.0035,0.0000
748323,"Oil, corn",Fats and Oils,[],100.0 milliliter,91.3000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
748608,"Oil, olive, extra virgin",Fats and Oils,[],100.0 milliliter,90.7000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
748366,"Oil, soybean",Fats and Oils,[],100.0 milliliter,91.3000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
332791,"Olives, green, Manzanilla, stuffed with pimiento",Fruits and Fruit Juices,[],1.0 olive,3.2000,0.1373,0.0039,0.1587,0.0000,4.5120,4.1600,0.1280,0.0000,0.0004,0.0000,0.0000,0.0058,0.0002,0.0014,0.0368,0.0518,0.0000,0.4128,0.0000,2.4544,0.0000
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Vegetables and Vegetable Products,[],1.0 piece,20.2000,0.2909,0.0057,7.3326,0.0000,59.1860,58.3780,0.4848,0.0002,0.0041,0.0001,0.0003,0.1495,0.0151,0.0273,0.9130,0.0755,0.0000,2.9088,0.0000,8.7668,0.0001
790577,"Onions, red, raw",Vegetables and Vegetable Products,[],1.0 Onion,197.0000,0.8471,0.0335,19.5621,0.0001,86.6800,82.7400,4.3340,0.0005,0.0225,0.0002,-1.0000,-1.0000,0.0808,0.3881,1.8518,0.0020,-1.0000,0.1970,-1.0000,174.5420,0.0003
